Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
France,FRA,1991,3138,58559309,0.00535867
Gabon,GAB,1991,2227,975785,0.228226505
Gambia,GMB,1991,500,992671,0.050369156
Georgia,GEO,1991,7,4835900,0.000144751
Germany,DEU,1991,2965,80013896,0.003705606
Ghana,GHA,1991,25616,15207360,0.168444753
Greece,GRC,1991,84,10319927,0.000813959
Greenland,GRL,1991,8,55500,0.014414414
Grenada,GRD,1991,15,96462,0.015550165
Guam,GUM,1991,6,133553,0.004492598
Guatemala,GTM,1991,553,9296814,0.005948274
Guinea,GIN,1991,3307,6534936,0.050604933
Guinea-Bissau,GNB,1991,1014,997522,0.101651893
Guyana,GUY,1991,415,744477,0.055743831
Haiti,HTI,1991,26610,7178611,0.370684524
Honduras,HND,1991,303,5098594,0.005942815
Hungary,HUN,1991,110,10373400,0.001060404
Iceland,ISL,1991,8,257797,0.003103217
India,IND,1991,50862,891273202,0.005706668
Indonesia,IDN,1991,2192,184591897,0.001187484
Iran,IRN,1991,131,57679025,0.000227119
Iraq,IRQ,1991,26,17889457,0.000145337
Ireland,IRL,1991,66,3534235,0.001867448
Israel,ISR,1991,223,4949000,0.004505961
Italy,ITA,1991,6461,56758521,0.011383313
Jamaica,JAM,1991,846,2439329,0.034681669
Japan,JPN,1991,706,123964000,0.00056952
Jordan,JOR,1991,9,3760493,0.00023933
Kazakhstan,KAZ,1991,469,16451711,0.002850767
Kenya,KEN,1991,282205,24521714,1.150837172
Kiribati,KIR,1991,2,73692,0.002713999
Kuwait,KWT,1991,8,2031297,0.000393837
Kyrgyzstan,KGZ,1991,80,4463600,0.001792275
Laos,LAO,1991,18,4379234,0.000411031
Latvia,LVA,1991,189,2650581,0.007130512
Lebanon,LBN,1991,99,2921700,0.003388438
Lesotho,LSO,1991,12832,1742534,0.736398831
Liberia,LBR,1991,1699,2040141,0.083278558
Libya,LBY,1991,27,4544245,0.000594158
Lithuania,LTU,1991,70,3704134,0.00188978
Luxembourg,LUX,1991,26,387000,0.006718346
Madagascar,MDG,1991,103,11942809,0.000862444
Malawi,MWI,1991,121814,9600361,1.268848119
Malaysia,MYS,1991,4765,18519941,0.025729024
Maldives,MDV,1991,0,229743,0
Mali,MLI,1991,7061,8635528,0.081766859
Malta,MLT,1991,7,363845,0.001923896
Marshall Islands,MHL,1991,2,48403,0.004131975
Mauritania,MRT,1991,67,2087914,0.003208944
Mauritius,MUS,1991,5,1070266,0.000467174
Mexico,MEX,1991,15326,85512621,0.017922501
Micronesia (country),FSM,1991,5,98779,0.005061805
Moldova,MDA,1991,161,2975523,0.005410813
Monaco,MCO,1991,1,29629,0.003375072
Mongolia,MNG,1991,1,2217918,4.50873E-05
Montenegro,MNE,1991,3,607105,0.000494148
Morocco,MAR,1991,505,25260407,0.001999176
Mozambique,MOZ,1991,32627,13328029,0.244799888
Myanmar,MMR,1991,13300,41890192,0.031749675
Namibia,NAM,1991,6435,1476399,0.435857786
Nauru,NRU,1991,0,9766,0
Nepal,NPL,1991,41,19405506,0.00021128
Netherlands,NLD,1991,438,15069798,0.002906476
New Zealand,NZL,1991,32,3495100,0.000915568
Nicaragua,NIC,1991,69,4267570,0.001616845
Niger,NER,1991,4387,8288739,0.052927231
Nigeria,NGA,1991,107205,97667632,0.109765127
North Korea,PRK,1991,307,20609151,0.00148963
North Macedonia,MKD,1991,2,1993304,0.000100336
Northern Mariana Islands,MNP,1991,1,46662,0.002143071
Norway,NOR,1991,271,4261732,0.006358917
Oman,OMN,1991,22,1893761,0.001161709
Pakistan,PAK,1991,606,110778655,0.000547037
Palau,PLW,1991,0,15442,0
Palestine,PSE,1991,4,2068845,0.000193345
Panama,PAN,1991,961,2523115,0.03808784
Papua New Guinea,PNG,1991,180,4725543,0.003809086
Paraguay,PRY,1991,133,4334348,0.003068512
Peru,PER,1991,1541,22522383,0.006842082
Philippines,PHL,1991,7376,63454785,0.011624025
Poland,POL,1991,396,38246193,0.001035397
Portugal,PRT,1991,2254,9960235,0.022629988
Puerto Rico,PRI,1991,1585,3562110,0.044496099
Qatar,QAT,1991,6,487354,0.001231138
Romania,ROU,1991,306,23001155,0.001330368
Russia,RUS,1991,6570,148394216,0.004427396
Rwanda,RWA,1991,23626,7083928,0.33351553
Saint Kitts and Nevis,KNA,1991,13,40381,0.032193358
Saint Lucia,LCA,1991,21,140001,0.014999893
Saint Vincent and the Grenadines,VCT,1991,57,107772,0.052889433
Samoa,WSM,1991,7,164000,0.004268293
San Marino,SMR,1991,1,24454,0.004089311
Sao Tome and Principe,STP,1991,2,121949,0.00164003
Saudi Arabia,SAU,1991,249,16772695,0.001484556
Senegal,SEN,1991,3677,7755503,0.047411496
Serbia,SRB,1991,46,7595636,0.000605611
Seychelles,SYC,1991,11,70439,0.015616349
Sierra Leone,SLE,1991,1789,4348663,0.041139081
Slovakia,SVK,1991,8,5303294,0.00015085
Slovenia,SVN,1991,8,1999429,0.000400114
Solomon Islands,SLB,1991,17,320781,0.005299566
Somalia,SOM,1991,1633,7274026,0.022449741
South Africa,ZAF,1991,104808,37718952,0.27786562
South Sudan,SSD,1991,4242,5420179,0.078263098
Spain,ESP,1991,6086,38966376,0.015618594
Sri Lanka,LKA,1991,129,17535732,0.000735641
Sudan,SDN,1991,3019,20891442,0.014450893
Suriname,SUR,1991,170,413009,0.041161331
Sweden,SWE,1991,244,8617375,0.002831489
Switzerland,CHE,1991,1306,6799978,0.019205944
Syria,SYR,1991,23,12815400,0.000179472
Tajikistan,TJK,1991,92,5400636,0.001703503
Tanzania,TZA,1991,221659,26056605,0.850682581
Thailand,THA,1991,82982,57232471,0.144991119
Timor,TLS,1991,961,759526,0.126526281
Togo,TGO,1991,7777,3862998,0.201320322
Tonga,TON,1991,2,95243,0.002099892
Trinidad and Tobago,TTO,1991,525,1229108,0.042713903
Tunisia,TUN,1991,41,8427851,0.000486482
Turkey,TUR,1991,79,54840595,0.000144054
Turkmenistan,TKM,1991,358,3789188,0.009447934
Tuvalu,TUV,1991,0,9014,0
Uganda,UGA,1991,131573,17953534,0.73285293
Ukraine,UKR,1991,4320,52000500,0.008307612
United Arab Emirates,ARE,1991,13,1937159,0.000671086
United Kingdom,GBR,1991,2030,57424897,0.003535052
United States,USA,1991,48797,252981000,0.0192888
United States Virgin Islands,VIR,1991,22,104807,0.020990964
Uruguay,URY,1991,458,3131657,0.014624846
Uzbekistan,UZB,1991,648,20952000,0.003092784
Vanuatu,VUT,1991,8,150718,0.005307926
Venezuela,VEN,1991,2104,20096314,0.010469582
Vietnam,VNM,1991,4052,69436956,0.005835509
Yemen,YEM,1991,187,12302127,0.001520062
Zambia,ZMB,1991,111883,8246662,1.356706507
Zimbabwe,ZWE,1991,179390,10681008,1.679523131
Afghanistan,AFG,1992,120,14485543,0.000828412
Albania,ALB,1992,4,3247039,0.000123189
Algeria,DZA,1992,159,27028330,0.000588272
American Samoa,ASM,1992,1,49900,0.002004008
Andorra,AND,1992,5,58882,0.008491559
Angola,AGO,1992,5122,12657361,0.040466571
Antigua and Barbuda,ATG,1992,16,64459,0.02482198
Argentina,ARG,1992,5394,33529320,0.016087412
Armenia,ARM,1992,2,3442820,5.80919E-05
Australia,AUS,1992,1040,17495000,0.005944556
Austria,AUT,1992,583,7840709,0.007435552
Azerbaijan,AZE,1992,55,7382050,0.00074505
Bahamas,BHS,1992,325,266028,0.122167591
Bahrain,BHR,1992,14,523082,0.002676445
Bangladesh,BGD,1992,0,107983708,0
Barbados,BRB,1992,89,262890,0.033854464
Belarus,BLR,1992,210,10216470,0.002055504
Belgium,BEL,1992,1020,10045158,0.010154146
Belize,BLZ,1992,67,194324,0.0344785
Benin,BEN,1992,6124,5331805,0.114857914
Bermuda,BMU,1992,21,58595,0.035839235
Bhutan,BTN,1992,21,534525,0.003928722
Bolivia,BOL,1992,773,7160917,0.010794707
Bosnia and Herzegovina,BIH,1992,6,4233673,0.000141721
Botswana,BWA,1992,29343,1363541,2.151970494
Brazil,BRA,1992,24990,154259382,0.016199987
Brunei,BRN,1992,6,273888,0.002190676
Bulgaria,BGR,1992,112,8540164,0.00131145
Burkina Faso,BFA,1992,23121,9297110,0.248690184
Burundi,BDI,1992,37169,5685569,0.653742836
Cambodia,KHM,1992,8548,9623899,0.08882055
Cameroon,CMR,1992,31541,12499499,0.252338114
Canada,CAN,1992,2360,28371264,0.008318276
Cape Verde,CPV,1992,301,355763,0.084606887
Central African Republic,CAF,1992,26515,2959236,0.896008294
Chad,TCD,1992,9442,6356741,0.148535232
Chile,CHL,1992,963,13719818,0.007019044
China,CHN,1992,13612,1164970000,0.001168442
Colombia,COL,1992,2872,34422568,0.008343364
Comoros,COM,1992,0,436454,0
Congo,COG,1992,11073,2489945,0.444708618
Costa Rica,CRI,1992,210,3286525,0.006389728
Cote d'Ivoire,CIV,1992,118830,12812428,0.92745887
Croatia,HRV,1992,41,4575818,0.000896015
Cuba,CUB,1992,206,10736386,0.001918709
Cyprus,CYP,1992,5,800610,0.000624524
Czechia,CZE,1992,26,10319123,0.000251959
Democratic Republic of Congo,COD,1992,80906,37333917,0.216709112
Denmark,DNK,1992,309,5171370,0.005975206
Djibouti,DJI,1992,269,615050,0.043736282
Dominica,DMA,1992,16,70546,0.022680237
Dominican Republic,DOM,1992,9230,7408339,0.124589331
Ecuador,ECU,1992,503,10716131,0.004693858
Egypt,EGY,1992,142,58666812,0.000242045
El Salvador,SLV,1992,776,5416327,0.014327052
Equatorial Guinea,GNQ,1992,548,447269,0.122521346
Eritrea,ERI,1992,7210,2257593,0.319366688
Estonia,EST,1992,4,1533091,0.000260911
Eswatini,SWZ,1992,5578,866995,0.643371646
Ethiopia,ETH,1992,234357,51423591,0.455738301
Fiji,FJI,1992,15,744470,0.002014856
Finland,FIN,1992,36,5041992,0.000714004
France,FRA,1992,2825,58851216,0.004800241
Gabon,GAB,1992,2761,1002573,0.275391418
Gambia,GMB,1992,709,1027476,0.069004045
Georgia,GEO,1992,6,4873500,0.000123115
Germany,DEU,1992,2935,80624598,0.003640328
Ghana,GHA,1992,29829,15653345,0.190559909
Greece,GRC,1992,83,10399061,0.000798149
Greenland,GRL,1992,8,55300,0.014466546
Grenada,GRD,1992,15,97161,0.015438293
Guam,GUM,1992,5,136693,0.003657832
Guatemala,GTM,1992,604,9544055,0.006328547
Guinea,GIN,1992,4241,6716032,0.063147406
Guinea-Bissau,GNB,1992,1357,1020353,0.13299319
Guyana,GUY,1992,448,748596,0.059845364
Haiti,HTI,1992,25629,7319491,0.350147298
Honduras,HND,1992,308,5244677,0.005872621
Hungary,HUN,1992,113,10369341,0.001089751
Iceland,ISL,1992,7,261057,0.002681407
India,IND,1992,86330,909307018,0.009494043
Indonesia,IDN,1992,1121,187739786,0.000597103
Iran,IRN,1992,132,58780376,0.000224565
Iraq,IRQ,1992,30,18402740,0.000163019
Ireland,IRL,1992,68,3558430,0.001910955
Israel,ISR,1992,232,5123000,0.004528597
Italy,ITA,1992,3755,56797087,0.006611255
Jamaica,JAM,1992,861,2461047,0.03498511
Japan,JPN,1992,776,124425000,0.000623669
Jordan,JOR,1992,10,3977667,0.000251404
Kazakhstan,KAZ,1992,479,16439095,0.002913786
Kenya,KEN,1992,294271,25326080,1.161928731
Kiribati,KIR,1992,2,74767,0.002674977
Kyrgyzstan,KGZ,1992,92,4515400,0.002037472
Laos,LAO,1992,27,4500346,0.000599954
Latvia,LVA,1992,203,2614338,0.007764872
Lebanon,LBN,1992,92,3076133,0.002990768
Lesotho,LSO,1992,18282,1782284,1.025762449
Liberia,LBR,1992,2184,2001612,0.109112056
Libya,LBY,1992,28,4650896,0.000602035
Lithuania,LTU,1992,74,3700114,0.001999938
Luxembourg,LUX,1992,26,392175,0.006629693
Madagascar,MDG,1992,196,12301338,0.001593323
Malawi,MWI,1992,128109,9685974,1.322623827
Malaysia,MYS,1992,4168,19002660,0.021933771
Maldives,MDV,1992,0,236271,0
Mali,MLI,1992,8595,8850334,0.097114979
Malta,MLT,1992,7,367618,0.001904151
Marshall Islands,MHL,1992,2,49242,0.004061573
Mauritania,MRT,1992,51,2142645,0.002380236
Mauritius,MUS,1992,6,1084441,0.00055328
Mexico,MEX,1992,11870,87075136,0.013631905
Micronesia (country),FSM,1992,5,101386,0.004931647
Moldova,MDA,1992,162,2977130,0.005441482
Monaco,MCO,1992,1,29859,0.003349074
Mongolia,MNG,1992,2,2243495,8.91466E-05
Montenegro,MNE,1992,4,608516,0.000657337
Morocco,MAR,1992,566,25711410,0.002201357
Mozambique,MOZ,1992,43755,13805999,0.316927446
Myanmar,MMR,1992,15909,42401686,0.037519734
Namibia,NAM,1992,9497,1516951,0.626058455
Nauru,NRU,1992,0,10030,0
Nepal,NPL,1992,69,19938322,0.000346067
Netherlands,NLD,1992,468,15184166,0.003082158
New Zealand,NZL,1992,34,3531700,0.000962709
Nicaragua,NIC,1992,85,4364514,0.001947525
Niger,NER,1992,5326,8566773,0.062170435
Nigeria,NGA,1992,131186,100161708,0.130974204
North Korea,PRK,1992,267,20937407,0.00127523
North Macedonia,MKD,1992,2,1988659,0.00010057
