country,Code,year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Iraq,IRQ,2000,101,23497589,0.000429831
Pakistan,PAK,1996,547,127349293,0.000429527
Kuwait,KWT,1990,9,2095350,0.000429523
Pakistan,PAK,1994,512,120362764,0.000425381
Pakistan,PAK,1995,521,123776835,0.000420919
Jordan,JOR,1999,21,5031754,0.000417349
Laos,LAO,1991,18,4379234,0.000411031
Kuwait,KWT,1999,8,1951642,0.000409911
Czechia,CZE,1995,42,10327253,0.000406691
Maldives,MDV,1994,1,248582,0.000402282
Estonia,EST,1993,6,1494128,0.000401572
Slovenia,SVN,1990,8,1998161,0.000400368
Slovenia,SVN,1991,8,1999429,0.000400114
Iraq,IRQ,1999,91,22802061,0.000399087
Kuwait,KWT,1991,8,2031297,0.000393837
Maldives,MDV,1995,1,254144,0.000393478
Iran,IRN,1995,241,61442658,0.000392236
Georgia,GEO,1997,17,4349913,0.000390812
Maldives,MDV,1996,1,259178,0.000385835
Jordan,JOR,1998,19,4943975,0.000384306
Maldives,MDV,1997,1,263836,0.000379023
Comoros,COM,1999,2,528853,0.000378177
Palestine,PSE,2000,11,2922153,0.000376435
Maldives,MDV,1998,1,268445,0.000372516
Comoros,COM,2000,2,542358,0.00036876
Maldives,MDV,1999,1,273522,0.000365601
Maldives,MDV,2000,1,279396,0.000357915
Armenia,ARM,1999,11,3089020,0.0003561
Iraq,IRQ,1998,78,22114330,0.000352712
Palestine,PSE,1999,10,2848431,0.00035107
Jordan,JOR,1997,17,4848536,0.000350621
Nepal,NPL,1992,69,19938322,0.000346067
Czechia,CZE,1994,35,10333587,0.000338701
Palestine,PSE,1998,9,2776568,0.000324141
Jordan,JOR,1996,15,4732848,0.000316934
Turkey,TUR,2000,198,63240196,0.000313092
Georgia,GEO,1990,15,4802000,0.00031237
Iran,IRN,1994,185,60590608,0.000305328
Jordan,JOR,1995,14,4588842,0.000305088
Turkey,TUR,1999,189,62287391,0.000303432
Iraq,IRQ,1997,65,21439579,0.000303178
Mongolia,MNG,1998,7,2355667,0.000297156
Palestine,PSE,1997,8,2706518,0.000295583
Georgia,GEO,1996,13,4491699,0.000289423
Czechia,CZE,1993,29,10329855,0.00028074
Jordan,JOR,1994,12,4410357,0.000272087
Palestine,PSE,1996,7,2587997,0.000270479
Mongolia,MNG,1994,6,2280475,0.000263103
Jordan,JOR,1993,11,4201559,0.000261808
Estonia,EST,1992,4,1533091,0.000260911
Iraq,IRQ,1996,54,20783073,0.000259827
Turkey,TUR,1998,158,61329665,0.000257624
Estonia,EST,1991,4,1561314,0.000256194
Egypt,EGY,1990,143,56134478,0.000254745
Iran,IRN,1993,152,59723761,0.000254505
Mongolia,MNG,1999,6,2376228,0.000252501
Czechia,CZE,1992,26,10319123,0.000251959
Jordan,JOR,1992,10,3977667,0.000251404
Mongolia,MNG,2000,6,2397417,0.000250269
Egypt,EGY,1991,143,57424552,0.000249022
Palestine,PSE,1995,6,2474666,0.000242457
Egypt,EGY,1992,142,58666812,0.000242045
Iran,IRN,1990,135,56366212,0.000239505
Jordan,JOR,1991,9,3760493,0.00023933
Egypt,EGY,1993,142,59880656,0.000237138
Czechia,CZE,1991,24,10308578,0.000232816
Iraq,IRQ,1995,46,20149342,0.000228295
Egypt,EGY,1994,139,61095804,0.000227512
Iran,IRN,1991,131,57679025,0.000227119
Armenia,ARM,1998,7,3108691,0.000225175
Iran,IRN,1992,132,58780376,0.000224565
Slovakia,SVK,1997,12,5383291,0.000222912
Slovakia,SVK,2000,12,5388720,0.000222687
Slovakia,SVK,1998,12,5390516,0.000222613
Slovakia,SVK,1999,12,5396020,0.000222386
Egypt,EGY,1995,138,62334025,0.000221388
Palestine,PSE,1993,5,2262676,0.000220977
Syria,SYR,1999,35,16013992,0.000218559
Syria,SYR,1998,34,15599588,0.000217954
Turkey,TUR,1997,131,60372571,0.000216986
Egypt,EGY,1996,137,63601632,0.000215403
Georgia,GEO,1995,10,4657722,0.000214697
Palestine,PSE,1994,5,2366298,0.000211301
Nepal,NPL,1991,41,19405506,0.00021128
Comoros,COM,1995,1,475394,0.000210352
Syria,SYR,1996,31,14754148,0.00021011
Egypt,EGY,1997,136,64892269,0.000209578
Syria,SYR,1995,30,14345491,0.000209125
Slovakia,SVK,1995,11,5361999,0.000205147
Slovakia,SVK,1996,11,5373361,0.000204714
Comoros,COM,1996,1,488625,0.000204656
Egypt,EGY,1998,135,66200259,0.000203927
North Macedonia,MKD,1997,4,1996869,0.000200314
Iraq,IRQ,1994,39,19539348,0.000199597
North Macedonia,MKD,1998,4,2007523,0.000199251
Comoros,COM,1997,1,501955,0.000199221
Syria,SYR,1993,27,13565074,0.000199041
Egypt,EGY,1999,134,67515591,0.000198473
North Macedonia,MKD,1999,4,2017142,0.0001983
North Macedonia,MKD,2000,4,2026350,0.000197399
Jordan,JOR,1990,7,3565888,0.000196305
Syria,SYR,2000,32,16410847,0.000194993
Egypt,EGY,2000,134,68831561,0.000194678
Comoros,COM,1998,1,515382,0.000194031
Czechia,CZE,1990,20,10333355,0.000193548
Palestine,PSE,1991,4,2068845,0.000193345
Armenia,ARM,1997,6,3133081,0.000191505
Estonia,EST,1990,3,1569174,0.000191183
Syria,SYR,1997,29,15175308,0.0001911
Slovakia,SVK,1990,10,5299187,0.000188708
Slovakia,SVK,1992,10,5305016,0.000188501
Slovakia,SVK,1994,10,5346331,0.000187044
Syria,SYR,1994,26,13950486,0.000186373
Palestine,PSE,1992,4,2163591,0.000184878
Turkey,TUR,1995,105,58486453,0.000179529
Syria,SYR,1991,23,12815400,0.000179472
Iraq,IRQ,1993,34,18955087,0.000179371
Turkey,TUR,1996,106,59423278,0.000178381
Mongolia,MNG,1993,4,2263196,0.000176741
Syria,SYR,1992,23,13187669,0.000174405
Georgia,GEO,1994,8,4836076,0.000165423
Laos,LAO,1990,7,4258471,0.000164378
Iraq,IRQ,1992,30,18402740,0.000163019
Turkey,TUR,1993,87,56653808,0.000153564
Syria,SYR,1990,19,12446168,0.000152657
