country,code,Age,Number_of_deaths,Continent
Eswatini,SWZ,5 to 14,2592,Africa
Ethiopia,ETH,5 to 14,72106,Africa
Fiji,FJI,5 to 14,5,Oceania
Finland,FIN,5 to 14,5,Europe
France,FRA,5 to 14,318,Europe
Gabon,GAB,5 to 14,655,Africa
Gambia,GMB,5 to 14,435,Africa
Georgia,GEO,5 to 14,0,Europe
Germany,DEU,5 to 14,228,Europe
Ghana,GHA,5 to 14,14654,Africa
Greece,GRC,5 to 14,8,Europe
Greenland,GRL,5 to 14,0,North America
Grenada,GRD,5 to 14,0,North America
Guam,GUM,5 to 14,0,Oceania
Guatemala,GTM,5 to 14,485,North America
Guinea,GIN,5 to 14,2836,Africa
Guinea-Bissau,GNB,5 to 14,1265,Africa
Guyana,GUY,5 to 14,89,South America
Haiti,HTI,5 to 14,8751,North America
Honduras,HND,5 to 14,85,North America
Hungary,HUN,5 to 14,14,Europe
Iceland,ISL,5 to 14,0,Europe
India,IND,5 to 14,28764,Asia
Indonesia,IDN,5 to 14,1125,Asia
Iran,IRN,5 to 14,69,Asia
Iraq,IRQ,5 to 14,47,Asia
Ireland,IRL,5 to 14,3,Europe
Israel,ISR,5 to 14,32,Asia
Italy,ITA,5 to 14,184,Europe
Jamaica,JAM,5 to 14,267,North America
Japan,JPN,5 to 14,61,Asia
Jordan,JOR,5 to 14,7,Asia
Kazakhstan,KAZ,5 to 14,31,Asia
Kenya,KEN,5 to 14,75851,Africa
Kiribati,KIR,5 to 14,0,Oceania
Kuwait,KWT,5 to 14,1,Asia
Kyrgyzstan,KGZ,5 to 14,100,Asia
Laos,LAO,5 to 14,99,Asia
Latvia,LVA,5 to 14,0,Europe
Lebanon,LBN,5 to 14,28,Asia
Lesotho,LSO,5 to 14,4384,Africa
Liberia,LBR,5 to 14,1035,Africa
Libya,LBY,5 to 14,20,Africa
Lithuania,LTU,5 to 14,0,Europe
Luxembourg,LUX,5 to 14,0,Europe
Madagascar,MDG,5 to 14,791,Africa
Malawi,MWI,5 to 14,40138,Africa
Malaysia,MYS,5 to 14,947,Asia
Maldives,MDV,5 to 14,0,Asia
Mali,MLI,5 to 14,3078,Africa
Malta,MLT,5 to 14,0,Europe
Marshall Islands,MHL,5 to 14,0,Oceania
Mauritania,MRT,5 to 14,4,Africa
Mauritius,MUS,5 to 14,0,Africa
Mexico,MEX,5 to 14,2085,North America
Moldova,MDA,5 to 14,0,Europe
Monaco,MCO,5 to 14,0,Europe
Mongolia,MNG,5 to 14,0,Asia
Montenegro,MNE,5 to 14,0,Europe
Morocco,MAR,5 to 14,418,Africa
Mozambique,MOZ,5 to 14,52158,Africa
Myanmar,MMR,5 to 14,7012,Asia
Namibia,NAM,5 to 14,3292,Africa
Nauru,NRU,5 to 14,0,Oceania
Nepal,NPL,5 to 14,509,Asia
Netherlands,NLD,5 to 14,47,Europe
New Zealand,NZL,5 to 14,2,North America
Nicaragua,NIC,5 to 14,89,Africa
